brand,model,year,km,transmission,drivetrain,body,price,car_age,km_per_year
BMW,X3,2014,155833.0,Автомат,Полный,Хэтчбек,659665,12,12986
Hyundai,Solaris,2017,164286.0,Механика,Полный,Кроссовер,308456,9,18254
BMW,3 Series,2012,141071.0,Механика,Передний,Кроссовер,420953,14,10076
Toyota,Land Cruiser,2008,221038.0,Автомат,Полный,Седан,255827,18,12280
Hyundai,Solaris,2021,79645.0,Автомат,Полный,Кроссовер,960678,5,15929
Hyundai,Santa Fe,2008,174234.0,Автомат,Полный,Хэтчбек,314185,18,9680
Hyundai,Santa Fe,2019,104291.0,Автомат,Полный,Седан,676794,7,14899
Volkswagen,Passat,2015,218212.0,Автомат,Полный,Кроссовер,272571,11,19837
Volkswagen,Golf,2011,257277.0,Автомат,Полный,Кроссовер,344509,15,17152
Volkswagen,Tiguan,2013,188545.0,Робот,Задний,Кроссовер,261781,13,14503
Volkswagen,Polo,2008,323304.0,Автомат,Передний,Кроссовер,290522,18,17961
Kia,Ceed,2015,114500.0,Автомат,Передний,Седан,377729,11,10409
Hyundai,ix35,2018,164467.0,Механика,Полный,Седан,462970,8,20558
Toyota,RAV4,2020,61601.0,Автомат,Передний,Седан,1979258,6,10267
BMW,5 Series,2009,288659.0,Автомат,Полный,Хэтчбек,296903,17,16980
Volkswagen,Tiguan,2024,22855.0,Автомат,Полный,Кроссовер,1658185,2,11428
Volkswagen,Golf,2022,54642.0,Механика,Передний,Кроссовер,1444296,4,13660
Kia,Sportage,2024,19536.0,Автомат,Передний,Седан,1926084,2,9768
Hyundai,Santa Fe,2008,126676.0,Автомат,Передний,Седан,276580,18,7038
Hyundai,Santa Fe,2020,99055.0,Механика,Передний,Седан,822869,6,16509
Volkswagen,Tiguan,2021,108027.0,Автомат,Передний,Седан,1049064,5,21605
BMW,3 Series,2019,89620.0,Автомат,Полный,Седан,1546952,7,12803
Volkswagen,Golf,2009,329582.0,Автомат,Передний,Хэтчбек,300282,17,19387
Hyundai,Santa Fe,2012,264467.0,Робот,Задний,Хэтчбек,327085,14,18890
BMW,5 Series,2010,338846.0,Механика,Передний,Хэтчбек,328857,16,21178
BMW,X5,2008,290231.0,Автомат,Передний,Седан,316345,18,16124
Kia,Ceed,2016,146835.0,Автомат,Полный,Седан,404761,10,14684
Volkswagen,Golf,2011,225648.5,Автомат,Передний,Хэтчбек,344145,15,15043
BMW,5 Series,2024,29370.0,Механика,Передний,Седан,2847440,2,14685
BMW,3 Series,2020,69297.0,Автомат,Полный,Кроссовер,1650798,6,11550
Toyota,Corolla,2024,36324.0,Автомат,Задний,Хэтчбек,2431426,2,18162
BMW,5 Series,2022,77976.0,Автомат,Задний,Кроссовер,1880535,4,19494
Volkswagen,Tiguan,2014,282873.0,Робот,Передний,Хэтчбек,334893,12,23573
Toyota,Corolla,2022,66606.0,Механика,Передний,Хэтчбек,2118954,4,16652
Kia,Rio,2009,216666.0,Автомат,Передний,Хэтчбек,307317,17,12745
Volkswagen,Polo,2024,24686.0,Автомат,Полный,Седан,1776262,2,12343
Kia,Sportage,2014,245285.0,Автомат,Передний,Седан,297179,12,20440
Kia,Optima,2015,179199.0,Механика,Полный,Седан,291020,11,16291
BMW,3 Series,2008,210439.0,Автомат,Задний,Кроссовер,342289,18,11691
Volkswagen,Passat,2023,47689.0,Автомат,Полный,Кроссовер,1444366,3,15896
Hyundai,ix35,2021,75251.0,Автомат,Задний,Седан,1089569,5,15050
Hyundai,Solaris,2019,80484.0,Автомат,Передний,Седан,789057,7,11498
BMW,5 Series,2012,196848.0,Робот,Задний,Седан,257908,14,14061
Hyundai,ix35,2020,68438.0,Робот,Полный,Седан,943001,6,11406
Volkswagen,Passat,2009,288450.0,Автомат,Полный,Хэтчбек,259069,17,16968
Hyundai,Tucson,2008,294524.0,Автомат,Полный,Кроссовер,342292,18,16362
Toyota,Camry,2020,89669.0,Автомат,Передний,Хэтчбек,1559926,6,14945
BMW,3 Series,2012,294909.0,Робот,Полный,Кроссовер,276697,14,21065
Hyundai,Tucson,2008,292497.0,Робот,Полный,Седан,334039,18,16250
Kia,Optima,2015,164928.0,Автомат,Полный,Седан,331696,11,14993
BMW,3 Series,2024,26591.0,Автомат,Передний,Хэтчбек,3044853,2,13296
Kia,Ceed,2014,230804.0,Автомат,Передний,Хэтчбек,320375,12,19234
Hyundai,Tucson,2008,143370.0,Механика,Передний,Хэтчбек,302124,18,7965
Hyundai,ix35,2011,297729.0,Механика,Передний,Кроссовер,343202,15,19849
Volkswagen,Tiguan,2020,86542.0,Автомат,Полный,Хэтчбек,788821,6,14424
Hyundai,Solaris,2023,31784.0,Автомат,Полный,Хэтчбек,1496905,3,10595
Kia,Rio,2012,212565.0,Автомат,Передний,Седан,262983,14,15183
Hyundai,ix35,2016,146835.0,Автомат,Передний,Хэтчбек,258538,10,14684
Hyundai,Solaris,2022,55405.0,Автомат,Передний,Кроссовер,1074788,4,13851
BMW,3 Series,2015,132597.0,Автомат,Передний,Седан,714752,11,12054
BMW,X5,2021,86590.0,Автомат,Полный,Седан,1682261,5,17318
Toyota,Corolla,2010,241831.0,Автомат,Передний,Седан,286873,16,15114
Toyota,Corolla,2012,264242.0,Автомат,Полный,Кроссовер,274030,14,18874
Kia,Sportage,2019,85328.0,Автомат,Передний,Кроссовер,799095,7,12190
BMW,X5,2009,173858.0,Автомат,Полный,Хэтчбек,289089,17,10227
Volkswagen,Tiguan,2009,254236.0,Автомат,Задний,Кроссовер,264160,17,14955
BMW,5 Series,2018,121031.5,Автомат,Полный,Хэтчбек,1554070,8,15129
Toyota,Corolla,2015,172654.0,Робот,Передний,Седан,589809,11,15696
Toyota,RAV4,2009,316735.0,Автомат,Полный,Хэтчбек,330472,17,18631
Volkswagen,Tiguan,2011,241785.0,Автомат,Передний,Седан,324100,15,16119
Volkswagen,Tiguan,2018,32289.0,Робот,Передний,Хэтчбек,767112,8,4036
Kia,Optima,2017,206892.0,Автомат,Полный,Кроссовер,267494,9,22988
Hyundai,ix35,2016,229359.0,Автомат,Передний,Хэтчбек,326486,10,22936
Hyundai,ix35,2019,124150.0,Робот,Передний,Хэтчбек,577291,7,17736
BMW,X3,2015,158640.0,Механика,Полный,Седан,751870,11,14422
Volkswagen,Polo,2021,30837.0,Механика,Передний,Хэтчбек,1296263,5,6167
Toyota,Camry,2013,213760.0,Автомат,Передний,Кроссовер,275899,13,16443
Hyundai,Solaris,2009,315683.0,Механика,Передний,Седан,284953,17,18570
Toyota,Land Cruiser,2017,138442.0,Автомат,Полный,Кроссовер,1011816,9,15382
Toyota,Land Cruiser,2013,238063.0,Механика,Передний,Седан,319265,13,18313
Volkswagen,Passat,2017,171356.0,Автомат,Полный,Хэтчбек,298349,9,19040
Volkswagen,Golf,2022,52891.0,Автомат,Полный,Седан,1085941,4,13223
Toyota,Corolla,2011,247638.0,Автомат,Передний,Кроссовер,329411,15,16509
Kia,Optima,2013,173838.0,Автомат,Полный,Седан,307760,13,13372
Kia,Rio,2008,165441.0,Автомат,Полный,Кроссовер,338024,18,9191
Kia,Rio,2016,213727.0,Робот,Задний,Хэтчбек,266052,10,21373
Volkswagen,Polo,2021,64775.0,Автомат,Полный,Кроссовер,1221350,5,12955
Toyota,Land Cruiser,2022,50590.0,Автомат,Полный,Кроссовер,2292232,4,12648
Toyota,Corolla,2018,115731.0,Робот,Передний,Хэтчбек,1329234,8,14466
Hyundai,Santa Fe,2018,135094.0,Автомат,Передний,Кроссовер,504724,8,16887
Toyota,RAV4,2024,17761.0,Автомат,Задний,Кроссовер,2884945,2,8880
BMW,X5,2015,278227.0,Автомат,Полный,Хэтчбек,326980,11,25293
Volkswagen,Polo,2020,91421.0,Автомат,Полный,Хэтчбек,771216,6,15237
Toyota,Corolla,2009,150641.0,Автомат,Полный,Кроссовер,285092,17,8861
Toyota,Land Cruiser,2017,235657.0,Автомат,Полный,Кроссовер,577136,9,26184
BMW,X3,2014,181325.0,Автомат,Передний,Хэтчбек,514503,12,15110
Hyundai,Solaris,2012,211679.0,Автомат,Полный,Хэтчбек,319873,14,15120
Toyota,Land Cruiser,2021,99996.0,Робот,Задний,Седан,1671797,5,19999
Kia,Ceed,2017,150131.0,Автомат,Передний,Хэтчбек,340448,9,16681
Toyota,Land Cruiser,2009,270453.0,Автомат,Полный,Хэтчбек,308126,17,15909
BMW,X3,2012,251886.0,Автомат,Полный,Кроссовер,294251,14,17992
BMW,X5,2019,132211.0,Механика,Передний,Хэтчбек,1350955,7,18887
Hyundai,Santa Fe,2009,252894.0,Механика,Передний,Седан,313054,17,14876
BMW,5 Series,2020,116472.0,Механика,Полный,Седан,1616156,6,19412
Kia,Rio,2012,274479.0,Механика,Полный,Хэтчбек,264592,14,19606
Volkswagen,Passat,2013,147857.0,Механика,Передний,Седан,337297,13,11374
Kia,Rio,2021,91888.0,Автомат,Передний,Хэтчбек,909349,5,18378
Volkswagen,Golf,2018,90456.0,Механика,Передний,Хэтчбек,774711,8,11307
Volkswagen,Golf,2008,172678.0,Автомат,Полный,Хэтчбек,308557,18,9593
Toyota,Camry,2020,98990.0,Автомат,Передний,Кроссовер,1598143,6,16498
Volkswagen,Passat,2015,118851.0,Автомат,Передний,Хэтчбек,294360,11,10805
BMW,X3,2013,103330.0,Автомат,Задний,Кроссовер,723324,13,7948
Hyundai,Solaris,2024,39153.0,Автомат,Полный,Хэтчбек,1735724,2,19576
Volkswagen,Polo,2012,256699.0,Автомат,Передний,Хэтчбек,317385,14,18336
Hyundai,ix35,2022,67346.0,Автомат,Полный,Кроссовер,1104453,4,16836
Volkswagen,Tiguan,2014,201438.0,Робот,Задний,Седан,322055,12,16786
BMW,X5,2010,237882.0,Автомат,Полный,Кроссовер,313515,16,14868
Toyota,Land Cruiser,2020,95331.0,Автомат,Полный,Хэтчбек,1562237,6,15888
Hyundai,Santa Fe,2020,78510.0,Механика,Полный,Седан,1037245,6,13085
Kia,Ceed,2010,245266.0,Робот,Полный,Хэтчбек,255853,16,15329
Volkswagen,Tiguan,2024,38523.0,Автомат,Передний,Кроссовер,1664248,2,19262
BMW,X5,2017,125412.0,Автомат,Полный,Кроссовер,935081,9,13935
Kia,Optima,2012,172786.0,Автомат,Передний,Седан,259059,14,12342
Hyundai,ix35,2011,284059.0,Робот,Передний,Кроссовер,344026,15,18937
BMW,X3,2015,155584.0,Робот,Полный,Кроссовер,764759,11,14144
Kia,Ceed,2009,226721.0,Робот,Полный,Кроссовер,260205,17,13337
Hyundai,ix35,2010,233340.0,Автомат,Полный,Хэтчбек,290661,16,14584
Kia,Sportage,2024,32748.0,Автомат,Передний,Хэтчбек,1415537,2,16374
BMW,5 Series,2012,188913.0,Автомат,Полный,Хэтчбек,279566,14,13494
Volkswagen,Polo,2010,274783.0,Автомат,Передний,Хэтчбек,255457,16,17174
Toyota,Camry,2023,58003.0,Автомат,Передний,Кроссовер,2722594,3,19334
Volkswagen,Polo,2015,166903.0,Робот,Полный,Седан,303940,11,15173
Volkswagen,Polo,2008,344194.0,Механика,Полный,Кроссовер,269160,18,19122
Hyundai,ix35,2018,130169.0,Автомат,Полный,Кроссовер,604345,8,16271
Toyota,Corolla,2017,112337.0,Автомат,Передний,Седан,1240007,9,12482
Kia,Optima,2009,256954.0,Автомат,Передний,Седан,284379,17,15115
Hyundai,ix35,2015,221251.0,Автомат,Полный,Кроссовер,325186,11,20114
Toyota,RAV4,2014,205825.0,Автомат,Полный,Седан,439350,12,17152
BMW,X3,2011,227877.0,Автомат,Передний,Кроссовер,324388,15,15192
Hyundai,Tucson,2008,227768.0,Механика,Полный,Хэтчбек,260906,18,12654
Hyundai,Tucson,2022,90572.0,Автомат,Полный,Седан,969535,4,22643
Kia,Sportage,2009,171368.0,Механика,Полный,Седан,324554,17,10080
BMW,5 Series,2018,114312.0,Автомат,Задний,Кроссовер,1411587,8,14289
Volkswagen,Passat,2013,177128.0,Автомат,Передний,Седан,275695,13,13625
Volkswagen,Passat,2024,42393.0,Механика,Передний,Хэтчбек,1597575,2,21196
Toyota,Land Cruiser,2021,71826.0,Автомат,Передний,Кроссовер,1718911,5,14365
Volkswagen,Golf,2010,164054.0,Автомат,Передний,Седан,265557,16,10253
Hyundai,Tucson,2019,115234.0,Автомат,Передний,Седан,711884,7,16462
Volkswagen,Tiguan,2015,95492.0,Автомат,Передний,Кроссовер,365092,11,8681
Kia,Sportage,2022,34657.0,Механика,Полный,Седан,1499362,4,8664
Toyota,RAV4,2016,180416.0,Автомат,Задний,Хэтчбек,731256,10,18042
BMW,X3,2008,254090.0,Автомат,Полный,Кроссовер,334428,18,14116
Hyundai,ix35,2014,181290.0,Автомат,Полный,Седан,317387,12,15108
Kia,Sportage,2019,112714.0,Механика,Передний,Седан,728231,7,16102
Hyundai,Tucson,2019,82640.0,Механика,Полный,Седан,877653,7,11806
Toyota,Corolla,2014,211267.0,Автомат,Полный,Хэтчбек,405995,12,17606
Hyundai,Santa Fe,2017,133601.5,Автомат,Полный,Хэтчбек,313526,9,14845
Hyundai,ix35,2021,54368.0,Механика,Полный,Хэтчбек,1020500,5,10874
Kia,Ceed,2012,180359.0,Робот,Задний,Хэтчбек,262337,14,12883
Toyota,Corolla,2022,55881.0,Механика,Полный,Кроссовер,2433533,4,13970
Volkswagen,Golf,2019,58279.0,Механика,Полный,Седан,992594,7,8326
Hyundai,Santa Fe,2009,328350.0,Робот,Передний,Седан,344291,17,19315
Kia,Sportage,2019,103921.0,Автомат,Передний,Кроссовер,785752,7,14846
Toyota,RAV4,2015,237907.0,Механика,Передний,Седан,368604,11,21628
Volkswagen,Tiguan,2020,53029.0,Автомат,Передний,Кроссовер,1004365,6,8838
Hyundai,Santa Fe,2009,273238.0,Автомат,Передний,Хэтчбек,314106,17,16073
Hyundai,Santa Fe,2019,85018.0,Автомат,Задний,Хэтчбек,736831,7,12145
Kia,Ceed,2021,63173.0,Механика,Передний,Кроссовер,1021664,5,12635
Toyota,Land Cruiser,2008,129442.0,Автомат,Передний,Кроссовер,309498,18,7191
Volkswagen,Golf,2012,249603.0,Автомат,Полный,Седан,273525,14,17829
Volkswagen,Golf,2021,73788.0,Автомат,Полный,Седан,858054,5,14758
Toyota,RAV4,2012,199360.0,Автомат,Передний,Седан,290764,14,14240
Kia,Optima,2018,134348.0,Автомат,Передний,Кроссовер,587464,8,16794
Toyota,RAV4,2019,75164.0,Автомат,Передний,Седан,1407345,7,10738
Kia,Rio,2008,276610.0,Механика,Передний,Седан,333132,18,15367
Kia,Rio,2018,119011.0,Механика,Полный,Кроссовер,500648,8,14876
Hyundai,Tucson,2011,345204.0,Механика,Передний,Седан,290447,15,23014
Volkswagen,Polo,2009,250638.0,Механика,Полный,Кроссовер,280981,17,14743
Toyota,Land Cruiser,2009,277355.0,Автомат,Передний,Седан,294435,17,16315
Kia,Sportage,2020,82858.0,Механика,Передний,Седан,957717,6,13810
Volkswagen,Passat,2008,369050.0,Автомат,Передний,Кроссовер,289237,18,20503
Volkswagen,Polo,2008,223994.0,Автомат,Передний,Хэтчбек,270159,18,12444
Kia,Sportage,2021,48538.0,Автомат,Полный,Седан,1148964,5,9708
Volkswagen,Polo,2019,107509.0,Автомат,Передний,Хэтчбек,779196,7,15358
Kia,Optima,2018,82195.0,Автомат,Передний,Хэтчбек,796295,8,10274
Volkswagen,Golf,2022,61667.0,Автомат,Задний,Седан,1127632,4,15417
Volkswagen,Golf,2023,44248.0,Автомат,Полный,Кроссовер,1577965,3,14749
Toyota,Land Cruiser,2023,48050.0,Автомат,Задний,Седан,2189217,3,16017
Toyota,Corolla,2019,91576.0,Автомат,Полный,Хэтчбек,1396750,7,13082
Hyundai,Tucson,2017,129821.0,Автомат,Полный,Кроссовер,473151,9,14425
Toyota,Camry,2016,181848.0,Механика,Полный,Седан,696144,10,18185
Kia,Optima,2023,25581.0,Автомат,Полный,Хэтчбек,1587795,3,8527
Kia,Ceed,2011,247504.0,Автомат,Передний,Кроссовер,270121,15,16500
Toyota,Land Cruiser,2009,422827.0,Автомат,Передний,Хэтчбек,309638,17,24872
Toyota,RAV4,2016,74312.0,Автомат,Полный,Седан,984342,10,7431
Toyota,Corolla,2010,120435.0,Механика,Передний,Седан,310598,16,7527
Kia,Sportage,2017,63931.0,Робот,Полный,Кроссовер,766668,9,7103
Toyota,Camry,2015,101764.0,Механика,Передний,Седан,929100,11,9251
BMW,X5,2015,111221.0,Механика,Полный,Седан,782296,11,10111
Kia,Ceed,2013,187537.0,Автомат,Задний,Хэтчбек,296868,13,14426
BMW,5 Series,2011,193280.0,Робот,Полный,Хэтчбек,273084,15,12885
Kia,Sportage,2023,44759.0,Автомат,Передний,Хэтчбек,1294037,3,14920
Volkswagen,Golf,2015,181878.0,Автомат,Передний,Седан,301886,11,16534
Kia,Optima,2014,194306.0,Автомат,Передний,Кроссовер,258254,12,16192
Hyundai,Solaris,2020,114046.0,Автомат,Передний,Хэтчбек,744342,6,19008
Hyundai,Solaris,2010,169384.0,Механика,Полный,Хэтчбек,325764,16,10586
BMW,3 Series,2017,57495.0,Автомат,Передний,Седан,1419995,9,6388
Toyota,RAV4,2017,144626.0,Механика,Передний,Кроссовер,938770,9,16070
Toyota,RAV4,2009,276875.0,Автомат,Задний,Седан,312687,17,16287
Hyundai,Tucson,2008,268198.0,Механика,Полный,Кроссовер,283577,18,14900
Toyota,Camry,2013,237523.0,Автомат,Передний,Кроссовер,257323,13,18271
Hyundai,Solaris,2011,239512.0,Робот,Полный,Кроссовер,264509,15,15967
Volkswagen,Passat,2009,189072.0,Механика,Передний,Хэтчбек,305799,17,11122
Kia,Sportage,2009,366485.0,Механика,Передний,Хэтчбек,276526,17,21558
Toyota,Camry,2016,146028.0,Механика,Передний,Хэтчбек,900966,10,14603
BMW,3 Series,2011,148537.0,Автомат,Передний,Кроссовер,342938,15,9902
BMW,5 Series,2014,210051.0,Механика,Полный,Хэтчбек,387557,12,17504
Volkswagen,Passat,2014,86688.0,Автомат,Передний,Кроссовер,325838,12,7224
Kia,Sportage,2013,335385.0,Автомат,Полный,Седан,272072,13,25799
Volkswagen,Polo,2020,89632.0,Автомат,Полный,Хэтчбек,892831,6,14939
Volkswagen,Tiguan,2011,259757.0,Механика,Передний,Седан,297841,15,17317
Hyundai,ix35,2013,220718.0,Автомат,Передний,Кроссовер,339854,13,16978
Kia,Optima,2023,43600.0,Автомат,Полный,Седан,1341412,3,14533
Volkswagen,Golf,2018,42185.0,Автомат,Передний,Кроссовер,740922,8,5273
Volkswagen,Passat,2012,204550.0,Механика,Полный,Кроссовер,259304,14,14611
Hyundai,Solaris,2018,154978.0,Автомат,Передний,Кроссовер,441457,8,19372
BMW,X5,2022,69205.0,Робот,Полный,Хэтчбек,1946933,4,17301
Volkswagen,Polo,2015,208826.0,Механика,Передний,Седан,255938,11,18984
BMW,5 Series,2011,179592.0,Механика,Полный,Седан,298042,15,11973
Kia,Sportage,2011,312337.0,Механика,Полный,Седан,266528,15,20822
Hyundai,Santa Fe,2016,221970.0,Автомат,Передний,Седан,310164,10,22197
BMW,5 Series,2019,110893.0,Механика,Передний,Седан,1574540,7,15842
Hyundai,Santa Fe,2016,143417.0,Автомат,Полный,Седан,321695,10,14342
BMW,X3,2018,155993.0,Автомат,Полный,Кроссовер,989306,8,19499
Volkswagen,Polo,2022,47209.0,Автомат,Задний,Хэтчбек,1294254,4,11802
BMW,3 Series,2018,145710.0,Механика,Передний,Хэтчбек,1200265,8,18214
BMW,X5,2012,257721.0,Автомат,Передний,Кроссовер,321754,14,18409
Toyota,Camry,2011,212458.0,Механика,Передний,Седан,321811,15,14164
Toyota,Corolla,2009,197164.0,Автомат,Полный,Седан,331324,17,11598
Kia,Sportage,2019,83022.0,Робот,Передний,Хэтчбек,869623,7,11860
Toyota,Camry,2011,263896.0,Автомат,Полный,Седан,334757,15,17593
Toyota,RAV4,2012,187937.0,Автомат,Передний,Хэтчбек,298287,14,13424
Toyota,Land Cruiser,2012,186937.0,Автомат,Полный,Седан,298793,14,13353
Kia,Ceed,2024,22061.0,Механика,Полный,Седан,1787325,2,11030
BMW,X3,2023,49630.0,Автомат,Передний,Кроссовер,2415024,3,16543
Kia,Ceed,2024,42107.0,Робот,Задний,Кроссовер,1454399,2,21054
BMW,X3,2023,52569.0,Автомат,Полный,Хэтчбек,2703619,3,17523
Toyota,Corolla,2016,164246.0,Автомат,Полный,Седан,866518,10,16425
Volkswagen,Tiguan,2024,30389.0,Робот,Полный,Хэтчбек,1533960,2,15194
Kia,Ceed,2012,212565.0,Механика,Передний,Кроссовер,318541,14,15183
Kia,Optima,2014,199285.0,Робот,Задний,Кроссовер,255632,12,16607
Hyundai,Tucson,2021,55032.0,Механика,Полный,Кроссовер,986886,5,11006
BMW,5 Series,2014,194486.0,Автомат,Задний,Седан,417315,12,16207
Kia,Rio,2020,72772.0,Механика,Передний,Седан,1068101,6,12129
Hyundai,ix35,2011,195938.0,Автомат,Полный,Седан,335985,15,13063
Kia,Optima,2018,122143.0,Робот,Передний,Седан,611380,8,15268
Kia,Rio,2012,238892.0,Механика,Передний,Кроссовер,296753,14,17064
Hyundai,ix35,2019,82364.0,Автомат,Передний,Седан,709950,7,11766
Hyundai,ix35,2009,233561.0,Автомат,Полный,Хэтчбек,318705,17,13739
Hyundai,Tucson,2013,223668.0,Автомат,Передний,Седан,331497,13,17205
Kia,Sportage,2009,225406.0,Механика,Передний,Хэтчбек,304088,17,13259
BMW,X5,2017,58207.0,Механика,Полный,Седан,1392676,9,6467
Volkswagen,Passat,2021,74269.0,Автомат,Передний,Седан,1146319,5,14854
Hyundai,Solaris,2009,250849.0,Робот,Полный,Хэтчбек,264492,17,14756
BMW,X5,2018,96452.0,Механика,Задний,Седан,1148964,8,12056
BMW,X3,2016,224931.0,Механика,Передний,Седан,581402,10,22493
Kia,Optima,2013,251162.0,Механика,Передний,Хэтчбек,287679,13,19320
Toyota,RAV4,2018,102511.0,Механика,Полный,Хэтчбек,1214951,8,12814
Toyota,Land Cruiser,2016,129371.0,Механика,Полный,Кроссовер,887702,10,12937
Volkswagen,Polo,2020,99357.0,Автомат,Передний,Седан,784178,6,16560
Volkswagen,Passat,2016,119105.0,Механика,Полный,Хэтчбек,442620,10,11910
Hyundai,Solaris,2009,243752.0,Автомат,Передний,Хэтчбек,334183,17,14338
Kia,Optima,2008,267079.0,Автомат,Передний,Кроссовер,321570,18,14838
Kia,Sportage,2018,158949.0,Автомат,Полный,Хэтчбек,488644,8,19869
Toyota,Corolla,2008,379534.0,Автомат,Полный,Седан,283342,18,21085
BMW,X5,2014,202538.0,Робот,Передний,Хэтчбек,399679,12,16878
Kia,Rio,2022,43895.0,Автомат,Передний,Хэтчбек,1406499,4,10974
Volkswagen,Tiguan,2021,71025.0,Механика,Передний,Хэтчбек,999994,5,14205
Hyundai,Tucson,2009,275410.0,Автомат,Передний,Кроссовер,304198,17,16201
Toyota,Corolla,2021,67446.0,Автомат,Передний,Седан,1819501,5,13489
Hyundai,Solaris,2021,74672.0,Робот,Полный,Кроссовер,1173145,5,14934
Volkswagen,Passat,2021,56291.0,Механика,Передний,Хэтчбек,1112060,5,11258
Volkswagen,Polo,2011,290158.0,Автомат,Передний,Кроссовер,297189,15,19344
Hyundai,Tucson,2018,140979.0,Автомат,Полный,Седан,531325,8,17622
Hyundai,Santa Fe,2023,63332.0,Автомат,Полный,Седан,1350364,3,21111
Toyota,Land Cruiser,2021,76401.0,Автомат,Полный,Хэтчбек,1910024,5,15280
Volkswagen,Polo,2016,196475.0,Робот,Полный,Кроссовер,260821,10,19648
Hyundai,Santa Fe,2020,77570.0,Робот,Передний,Хэтчбек,963823,6,12928
Kia,Optima,2015,175606.0,Робот,Передний,Кроссовер,318237,11,15964
BMW,X5,2014,162588.0,Автомат,Задний,Седан,521256,12,13549
Toyota,Corolla,2016,129896.0,Автомат,Полный,Седан,1014997,10,12990
Kia,Rio,2019,127583.0,Автомат,Передний,Кроссовер,618609,7,18226
Hyundai,Solaris,2015,174066.0,Автомат,Передний,Кроссовер,301491,11,15824
Hyundai,Tucson,2024,27526.0,Механика,Полный,Седан,1611871,2,13763
Hyundai,ix35,2012,167879.0,Автомат,Полный,Кроссовер,286070,14,11991
Hyundai,Solaris,2020,82955.0,Автомат,Задний,Кроссовер,887397,6,13826
BMW,X5,2019,108167.0,Механика,Полный,Кроссовер,1476372,7,15452
Hyundai,ix35,2014,218913.0,Автомат,Полный,Седан,265303,12,18243
Hyundai,Solaris,2011,257110.0,Автомат,Передний,Кроссовер,261390,15,17141
Kia,Ceed,2022,51579.0,Механика,Полный,Хэтчбек,1312564,4,12895
Kia,Sportage,2016,210232.0,Механика,Полный,Седан,265850,10,21023
Kia,Rio,2013,224056.0,Автомат,Передний,Хэтчбек,306947,13,17235
Kia,Rio,2024,37340.0,Автомат,Передний,Кроссовер,1417600,2,18670
Volkswagen,Tiguan,2018,178886.0,Автомат,Передний,Седан,383293,8,22361
BMW,5 Series,2010,192289.0,Автомат,Полный,Кроссовер,293788,16,12018
Toyota,Land Cruiser,2011,259610.0,Автомат,Передний,Хэтчбек,267833,15,17307
Hyundai,ix35,2022,21732.0,Автомат,Передний,Седан,1437880,4,5433
Toyota,Corolla,2018,155529.0,Механика,Передний,Седан,1086331,8,19441
BMW,3 Series,2020,61598.0,Робот,Передний,Хэтчбек,1788913,6,10266
Volkswagen,Golf,2021,73232.0,Автомат,Передний,Хэтчбек,956488,5,14646
Volkswagen,Tiguan,2017,121679.0,Робот,Передний,Седан,465315,9,13520
Toyota,Corolla,2013,256002.0,Робот,Передний,Хэтчбек,268642,13,19692
Hyundai,ix35,2023,49435.0,Механика,Задний,Кроссовер,1451330,3,16478
